,predictions,file_names
0,HAPPY,03-01-03-01-01-02-22.wav
1,FEARFUL,03-01-07-01-02-02-23.wav
2,DISGUST,03-01-07-02-01-02-05.wav
3,FEARFUL,03-01-06-01-01-02-11.wav
4,FEARFUL,03-01-06-02-02-02-16.wav
5,FEARFUL,03-01-03-02-02-02-21.wav
6,DISGUST,03-01-01-01-02-02-20.wav
7,FEARFUL,03-01-06-02-01-02-03.wav
8,DISGUST,03-01-03-02-02-01-11.wav
9,NEUTRAL,03-01-01-01-02-01-15.wav
10,NEUTRAL,03-01-01-01-01-02-21.wav
11,HAPPY,03-01-03-01-01-01-21.wav
12,FEARFUL,03-01-06-02-02-01-16.wav
13,HAPPY,03-01-03-01-02-01-03.wav
14,DISGUST,03-01-06-01-02-01-14.wav
15,FEARFUL,03-01-06-02-01-01-06.wav
16,HAPPY,03-01-03-01-02-02-06.wav
17,FEARFUL,03-01-06-02-02-02-23.wav
18,HAPPY,03-01-03-02-01-01-01.wav
19,DISGUST,03-01-07-01-01-01-03.wav
20,DISGUST,03-01-07-01-02-02-13.wav
21,NEUTRAL,03-01-01-01-01-02-17.wav
22,HAPPY,03-01-03-02-02-02-08.wav
23,HAPPY,03-01-03-01-01-01-11.wav
24,DISGUST,03-01-01-01-01-02-16.wav
25,FEARFUL,03-01-03-02-01-01-04.wav
26,DISGUST,03-01-07-02-02-02-24.wav
27,HAPPY,03-01-06-02-01-02-11.wav
28,HAPPY,03-01-01-01-01-02-07.wav
29,HAPPY,03-01-06-01-01-02-18.wav
30,DISGUST,03-01-03-02-02-02-20.wav
31,DISGUST,03-01-01-01-02-02-18.wav
32,DISGUST,03-01-07-01-01-02-02.wav
33,FEARFUL,03-01-06-01-02-02-24.wav
34,DISGUST,03-01-07-02-02-02-16.wav
35,HAPPY,03-01-07-01-01-01-12.wav
36,NEUTRAL,03-01-01-01-02-01-08.wav
37,DISGUST,03-01-07-02-01-02-01.wav
38,NEUTRAL,03-01-01-01-02-01-13.wav
39,FEARFUL,03-01-07-01-01-02-17.wav
40,NEUTRAL,03-01-01-01-02-02-23.wav
41,HAPPY,03-01-03-01-02-02-22.wav
42,FEARFUL,03-01-06-01-01-01-02.wav
43,DISGUST,03-01-07-02-01-02-02.wav
44,HAPPY,03-01-03-01-02-02-11.wav
45,HAPPY,03-01-03-02-01-02-16.wav
46,FEARFUL,03-01-07-02-01-01-04.wav
47,HAPPY,03-01-06-02-01-01-14.wav
48,DISGUST,03-01-07-02-02-02-08.wav
49,HAPPY,03-01-03-01-01-01-04.wav
50,DISGUST,03-01-07-02-02-02-21.wav
51,HAPPY,03-01-03-02-02-01-20.wav
52,NEUTRAL,03-01-06-01-01-02-05.wav
53,HAPPY,03-01-03-01-01-01-17.wav
54,FEARFUL,03-01-06-02-01-02-24.wav
55,DISGUST,03-01-07-01-02-01-19.wav
56,DISGUST,03-01-07-02-02-01-19.wav
57,FEARFUL,03-01-06-02-02-02-21.wav
58,HAPPY,03-01-07-02-01-01-15.wav
59,DISGUST,03-01-01-01-01-02-24.wav
60,FEARFUL,03-01-06-01-02-01-24.wav
61,NEUTRAL,03-01-01-01-02-01-21.wav
62,NEUTRAL,03-01-01-01-02-02-06.wav
63,NEUTRAL,03-01-06-01-01-01-05.wav
64,DISGUST,03-01-07-02-01-01-24.wav
65,HAPPY,03-01-03-01-01-01-02.wav
66,HAPPY,03-01-03-02-02-02-05.wav
67,HAPPY,03-01-03-02-02-01-21.wav
68,DISGUST,03-01-07-01-01-02-13.wav
69,DISGUST,03-01-06-02-02-01-06.wav
70,DISGUST,03-01-07-01-01-01-09.wav
71,HAPPY,03-01-03-02-02-02-10.wav
72,FEARFUL,03-01-06-01-02-02-05.wav
73,HAPPY,03-01-03-02-02-02-16.wav
74,FEARFUL,03-01-06-02-01-02-16.wav
75,DISGUST,03-01-07-01-01-01-05.wav
76,FEARFUL,03-01-03-02-02-01-18.wav
77,HAPPY,03-01-06-02-01-01-11.wav
78,NEUTRAL,03-01-01-01-01-02-09.wav
79,FEARFUL,03-01-06-01-01-02-19.wav
80,FEARFUL,03-01-06-01-02-02-03.wav
81,NEUTRAL,03-01-01-01-02-01-24.wav
82,FEARFUL,03-01-06-02-02-02-03.wav
83,NEUTRAL,03-01-01-01-01-01-05.wav
84,NEUTRAL,03-01-01-01-01-01-03.wav
85,FEARFUL,03-01-06-01-02-01-07.wav
86,FEARFUL,03-01-07-02-02-02-22.wav
87,HAPPY,03-01-03-02-01-02-12.wav
88,DISGUST,03-01-07-01-02-01-04.wav
89,DISGUST,03-01-07-01-01-01-17.wav
90,FEARFUL,03-01-06-02-02-01-11.wav
91,HAPPY,03-01-03-02-02-01-15.wav
92,DISGUST,03-01-07-02-02-01-16.wav
93,NEUTRAL,03-01-01-01-02-02-01.wav
94,FEARFUL,03-01-06-02-01-02-14.wav
95,FEARFUL,03-01-03-01-02-02-17.wav
96,FEARFUL,03-01-06-02-02-02-24.wav
97,HAPPY,03-01-03-01-02-01-16.wav
98,DISGUST,03-01-01-01-02-01-07.wav
99,FEARFUL,03-01-06-01-02-01-10.wav
100,HAPPY,03-01-03-02-02-01-16.wav
101,FEARFUL,03-01-06-01-02-01-09.wav
102,DISGUST,03-01-07-02-02-02-20.wav
103,HAPPY,03-01-06-02-02-01-13.wav
104,DISGUST,03-01-07-01-02-01-24.wav
105,DISGUST,03-01-07-02-02-01-22.wav
106,NEUTRAL,03-01-01-01-02-02-19.wav
107,NEUTRAL,03-01-03-01-01-02-05.wav
108,DISGUST,03-01-01-01-01-02-14.wav
109,DISGUST,03-01-07-01-02-01-13.wav
110,HAPPY,03-01-03-01-01-02-09.wav
111,HAPPY,03-01-03-02-02-02-02.wav
112,DISGUST,03-01-01-01-02-01-18.wav
113,DISGUST,03-01-07-02-01-01-10.wav
114,HAPPY,03-01-03-02-01-02-08.wav
115,DISGUST,03-01-01-01-02-02-16.wav
116,NEUTRAL,03-01-01-01-02-01-23.wav
117,FEARFUL,03-01-06-01-01-01-08.wav
118,NEUTRAL,03-01-03-01-02-01-22.wav
119,DISGUST,03-01-07-01-01-01-02.wav
120,HAPPY,03-01-07-02-02-02-18.wav
121,NEUTRAL,03-01-01-01-02-02-17.wav
122,DISGUST,03-01-01-01-01-01-22.wav
123,DISGUST,03-01-07-02-01-01-12.wav
124,DISGUST,03-01-07-01-02-02-18.wav
125,FEARFUL,03-01-06-02-02-01-02.wav
126,NEUTRAL,03-01-01-01-01-01-11.wav
127,DISGUST,03-01-07-01-02-02-12.wav
128,FEARFUL,03-01-07-02-01-02-15.wav
129,HAPPY,03-01-03-01-01-01-12.wav
