,predictions,file_names
0,HAPPY,h10.wav
1,HAPPY,h09.wav
2,HAPPY,h04.wav
3,DISGUST,d14.wav
4,FEARFUL,f01.wav
5,HAPPY,f01.wav
6,HAPPY,h15.wav
7,DISGUST,d05.wav
8,NEUTRAL,n13.wav
9,NEUTRAL,n30.wav
10,NEUTRAL,n08.wav
11,NEUTRAL,n06.wav
12,FEARFUL,f10.wav
13,NEUTRAL,n16.wav
14,NEUTRAL,n13.wav
15,FEARFUL,h10.wav
16,NEUTRAL,d09.wav
17,HAPPY,h08.wav
18,FEARFUL,f03.wav
19,NEUTRAL,n18.wav
20,DISGUST,d15.wav
21,NEUTRAL,n25.wav
22,NEUTRAL,n26.wav
23,NEUTRAL,n28.wav
24,NEUTRAL,n29.wav
25,HAPPY,h01.wav
26,FEARFUL,f01.wav
27,HAPPY,h12.wav
28,NEUTRAL,n07.wav
29,FEARFUL,h02.wav
30,NEUTRAL,n27.wav
31,NEUTRAL,n22.wav
32,NEUTRAL,n27.wav
33,NEUTRAL,n29.wav
34,HAPPY,f14.wav
35,NEUTRAL,n09.wav
36,NEUTRAL,n24.wav
37,FEARFUL,f11.wav
38,FEARFUL,f07.wav
39,HAPPY,f15.wav
40,FEARFUL,f10.wav
41,FEARFUL,f03.wav
42,FEARFUL,h13.wav
43,HAPPY,h01.wav
44,NEUTRAL,n16.wav
45,HAPPY,h09.wav
46,DISGUST,d14.wav
47,DISGUST,d09.wav
48,NEUTRAL,n03.wav
49,NEUTRAL,n23.wav
50,NEUTRAL,n26.wav
51,NEUTRAL,d08.wav
52,HAPPY,h05.wav
53,NEUTRAL,n17.wav
54,FEARFUL,f04.wav
55,FEARFUL,h03.wav
56,FEARFUL,f06.wav
57,NEUTRAL,n28.wav
58,NEUTRAL,n12.wav
59,HAPPY,h02.wav
60,NEUTRAL,n04.wav
61,FEARFUL,h10.wav
62,FEARFUL,h08.wav
63,DISGUST,d02.wav
64,NEUTRAL,n17.wav
65,NEUTRAL,n14.wav
66,FEARFUL,f15.wav
67,NEUTRAL,n10.wav
68,DISGUST,d07.wav
69,DISGUST,f08.wav
70,NEUTRAL,n30.wav
71,FEARFUL,f03.wav
72,FEARFUL,f14.wav
73,NEUTRAL,n21.wav
74,FEARFUL,f13.wav
